ds,y,month,weekday,week
2020-09-21,76.79975689344565,9,0,39
2020-09-22,71.37247630108585,9,1,39
2020-09-23,65.97358964075569,9,2,39
2020-09-24,73.18064368134024,9,3,39
2020-09-25,79.65451180804163,9,4,39
2020-09-26,87.14179360412561,9,5,39
2020-09-27,88.74271444368927,9,6,39
2020-09-28,91.9573288795765,9,0,40
2020-09-29,87.46909194506722,9,1,40
2020-09-30,82.84224503946015,9,2,40
2020-10-01,90.6312718036346,10,3,40
2020-10-21,92.67138152907401,10,2,43
2020-10-27,89.22142079664626,10,1,44
2020-10-28,80.84494708236831,10,2,44
2020-10-29,85.21136329442955,10,3,44
2020-10-30,89.0315027282797,10,4,44
2020-11-03,88.93736204138094,11,1,45
2020-11-04,83.16780966082274,11,2,45
2020-11-05,90.1871541246091,11,3,45
2021-01-20,88.21957775633103,1,2,3
2021-01-21,91.81579810144582,1,3,3
2021-01-27,89.87084375239039,1,2,4
2021-05-05,90.70232535423143,5,2,18
2021-05-12,93.07584142079726,5,2,19
2021-08-25,84.99794566839918,8,2,34
2021-08-26,87.99139853026495,8,3,34
2021-08-27,90.13250312702323,8,4,34
2021-08-28,93.20016807922997,8,5,34
2021-08-29,90.32940736692703,8,6,34
2021-08-30,89.05741460284445,8,0,35
2021-08-31,80.1069375471186,8,1,35
2021-09-01,71.08339228590991,9,2,35
2021-09-02,74.58396729459497,9,3,35
2021-09-03,77.29241562684865,9,4,35
2021-09-04,80.98169882239156,9,5,35
2021-09-05,78.78201933786079,9,6,35
2021-09-06,89.70662250990156,9,0,36
2021-09-07,70.03724641333584,9,1,36
2021-09-08,61.817169114588594,9,2,36
2021-09-09,66.16424875474794,9,3,36
2021-09-10,69.7635130570508,9,4,36
2021-09-11,74.38995530623708,9,5,36
2021-09-12,73.1762539563914,9,6,36
2021-09-13,73.65861713820627,9,0,37
2021-09-14,66.5598156418758,9,1,37
2021-09-15,59.48585687149894,9,2,37
2021-09-16,65.03456742625168,9,3,37
2021-09-17,69.88980379148605,9,4,37
2021-09-18,75.82347908884718,9,5,37
2021-09-19,75.96296933710408,9,6,37
2021-09-20,77.83671240175042,9,0,38
2021-09-21,72.15707740953903,9,1,38
2021-09-22,66.51696891814946,9,2,38
2021-09-23,73.49844239473768,9,3,38
2021-09-24,79.76705608468774,9,4,38
2021-09-25,87.07414921182172,9,5,38
2021-09-26,88.52460815599312,9,6,38
2021-09-27,91.62292810936611,9,0,39
2021-09-28,87.05663849353056,9,1,39
2021-09-29,82.39354329678598,9,2,39
2021-09-30,90.19103642231957,9,3,39
2021-10-27,85.12553636236449,10,2,43
2021-10-28,89.10338667376357,10,3,43
2021-10-29,92.4923004597248,10,4,43
2021-11-02,90.45553209633752,11,1,44
2021-11-03,84.20427789635417,11,2,44
2021-11-04,90.76773083322772,11,3,44
2022-01-26,90.43897298216575,1,2,4
2022-08-24,90.5956630816454,8,2,34
2022-08-30,85.27766100289497,8,1,35
2022-08-31,76.14244191993711,8,2,35
2022-09-01,79.52290065516694,9,3,35
2022-09-02,82.10347688176458,9,4,35
2022-09-03,85.65755319741245,9,5,35
2022-09-04,83.31549021303864,9,6,35
2022-09-06,74.26386230071614,9,1,36
2022-09-07,65.87855207562316,9,2,36
2022-09-08,70.05180508299094,9,3,36
2022-09-09,73.46804289624514,9,4,36
2022-09-10,77.90169152739699,9,5,36
2022-09-11,76.48498120329016,9,6,36
2022-09-12,76.75387195083434,9,0,37
2022-09-13,69.43116515316332,9,1,37
2022-09-14,62.12325013264946,9,2,37
2022-09-15,67.42875007259786,9,3,37
2022-09-16,72.03278363460436,9,4,37
2022-09-17,77.70902742747886,9,5,37
2022-09-18,77.58714042963072,9,6,37
2022-09-19,79.19836172876632,9,0,38
2022-09-20,73.25835815938179,9,1,38
2022-09-21,67.36378561170916,9,2,38
2022-09-22,74.10084076750631,9,3,38
2022-09-23,80.1395292847254,9,4,38
2022-09-24,87.23584204206293,9,5,38
2022-09-25,88.4994034621271,9,6,38
2022-09-26,91.4394024321281,9,0,39
2022-09-27,86.74787769368548,9,1,39
2022-09-28,81.99681292352517,9,2,39
2022-09-29,89.74730601523524,9,3,39
2022-10-26,89.81900287548947,10,2,43
2022-10-27,93.47342395856884,10,3,43
2022-11-01,92.5936438613776,11,1,44
2022-11-02,85.84549069976578,11,2,44
2022-11-03,91.92267340953352,11,3,44
